current_step = 0, self: Store(Fixed(20, 0)), 
current_step = 1, self: Store(Advice(0, 0)), 
current_step = 2, self: Store(Advice(0, 1)), 
current_step = 3, self: Store(Advice(0, 2)), 
current_step = 4, self: Mul(Intermediate(2), Intermediate(3)), 
current_step = 5, self: Add(Intermediate(1), Intermediate(4)), 
current_step = 6, self: Store(Advice(0, 3)), 
current_step = 7, self: Sub(Intermediate(5), Intermediate(6)), 
current_step = 8, self: Mul(Intermediate(0), Intermediate(7)), 
current_step = 9, self: Store(Fixed(21, 0)), 
current_step = 10, self: Store(Advice(1, 0)), 
current_step = 11, self: Store(Advice(1, 1)), 
current_step = 12, self: Store(Advice(1, 2)), 
current_step = 13, self: Mul(Intermediate(11), Intermediate(12)), 
current_step = 14, self: Add(Intermediate(10), Intermediate(13)), 
current_step = 15, self: Store(Advice(1, 3)), 
current_step = 16, self: Sub(Intermediate(14), Intermediate(15)), 
current_step = 17, self: Mul(Intermediate(9), Intermediate(16)), 
current_step = 18, self: Store(Fixed(22, 0)), 
current_step = 19, self: Store(Advice(2, 0)), 
current_step = 20, self: Store(Advice(2, 1)), 
current_step = 21, self: Store(Advice(2, 2)), 
current_step = 22, self: Mul(Intermediate(20), Intermediate(21)), 
current_step = 23, self: Add(Intermediate(19), Intermediate(22)), 
current_step = 24, self: Store(Advice(2, 3)), 
current_step = 25, self: Sub(Intermediate(23), Intermediate(24)), 
current_step = 26, self: Mul(Intermediate(18), Intermediate(25)), 
current_step = 27, self: Store(Fixed(23, 0)), 
current_step = 28, self: Store(Advice(3, 0)), 
current_step = 29, self: Store(Advice(3, 1)), 
current_step = 30, self: Store(Advice(3, 2)), 
current_step = 31, self: Mul(Intermediate(29), Intermediate(30)), 
current_step = 32, self: Add(Intermediate(28), Intermediate(31)), 
current_step = 33, self: Store(Advice(3, 3)), 
current_step = 34, self: Sub(Intermediate(32), Intermediate(33)), 
current_step = 35, self: Mul(Intermediate(27), Intermediate(34)), 
current_step = 36, self: Store(Fixed(24, 0)), 
current_step = 37, self: Store(Advice(4, 0)), 
current_step = 38, self: Store(Advice(4, 1)), 
current_step = 39, self: Store(Advice(4, 2)), 
current_step = 40, self: Mul(Intermediate(38), Intermediate(39)), 
current_step = 41, self: Add(Intermediate(37), Intermediate(40)), 
current_step = 42, self: Store(Advice(4, 3)), 
current_step = 43, self: Sub(Intermediate(41), Intermediate(42)), 
current_step = 44, self: Mul(Intermediate(36), Intermediate(43)), 
current_step = 45, self: Store(Fixed(25, 0)), 
current_step = 46, self: Store(Advice(6, 0)), 
current_step = 47, self: Store(Challenge(0)), 
current_step = 48, self: Mul(Intermediate(46), Intermediate(47)), 
current_step = 49, self: Store(Advice(6, 1)), 
current_step = 50, self: Add(Intermediate(48), Intermediate(49)), 
current_step = 51, self: Store(Advice(6, 2)), 
current_step = 52, self: Sub(Intermediate(50), Intermediate(51)), 
current_step = 53, self: Mul(Intermediate(45), Intermediate(52)), 
current_step = 54, self: Store(Fixed(4, 0)), 
current_step = 55, self: Mul(Constant(0), Constant(4)), 
current_step = 56, self: Store(Advice(16, 4)), 
current_step = 57, self: Add(Intermediate(55), Intermediate(56)), 
current_step = 58, self: Mul(Intermediate(57), Constant(3)), 
current_step = 59, self: Store(Advice(16, 5)), 
current_step = 60, self: Add(Intermediate(58), Intermediate(59)), 
current_step = 61, self: Mul(Intermediate(60), Constant(3)), 
current_step = 62, self: Store(Advice(16, 6)), 
current_step = 63, self: Add(Intermediate(61), Intermediate(62)), 
current_step = 64, self: Mul(Intermediate(63), Constant(3)), 
current_step = 65, self: Store(Advice(16, 7)), 
